TotalPages,ImagePages,TotalTime,RepeatedAccess,ErrorRequest,GET,POST,HEAD,Breadth,Depth,MultiIP,MultiAgent,Robot
2,0,0,0.5,0,1,0,0,1,1,0,0,1
2,0,2,0,0.5,1,0,0,1,1,0,0,1
3,0,1,0.6666,0,0.3333,0,0.6666,1,1,0,0,1
3,1,0,0,0,1,0,0,1,1,0,0,0
4,0,339,0,0,1,0,0,2,1,0,1,1
4,0.75,2,0,0,1,0,0,1,1,0,0,0
5,0,80,0,0.2,1,0,0,5,1,0,0,1
8,0,2434,0,0.125,1,0,0,7,1,0,0,1
2,0,467,0,0,1,0,0,1,1,0,1,0
3,0,14,0.3333,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,0,0,1,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,0,0,1,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,0,0,1,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,0,0,1,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,0,0,1,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,0,0,1,1,1,0,0,1
1,0,0,0,0,0,0,1,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,0,0,1,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,0,0,1,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,0,0,1,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,1,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,0,0,1,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,0,1,0,1,1,0,0,0
1,0,0,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,0
2,0,50,0.5,0,1,0,0,1,1,0,0,1
2,0,0,0,1,1,0,0,1,1,0,0,1
2,0,284,0,0,1,0,0,2,1,0,0,1
2,0,63,0,0.5,0.5,0,0.5,1,1,0,0,1
2,0.5,0,0,0,1,0,0,1,1,0,0,1
2,0,1,0,0.5,1,0,0,1,1,0,0,1
2,0,177,0.5,0,1,0,0,1,1,0,0,1
2,0,7,0,0.5,1,0,0,1,1,0,0,1
2,1,3,0,0,1,0,0,1,1,0,0,1
2,0,2,0,0,1,0,0,1,1,0,0,1
2,0.5,2,0,0,1,0,0,1,1,0,0,1
2,0,1,0,0,1,0,0,1,1,0,0,1
2,0,1,0.5,0,1,0,0,1,1,0,0,1
2,0,1,0.5,0.5,1,0,0,1,1,0,0,1
2,0,0,0,0.5,1,0,0,2,1,0,0,1
2,0,29,0,0,1,0,0,2,1,0,0,1
2,0,479,0,0,1,0,0,1,1,0,0,1
2,0,1185,0,0,1,0,0,2,1,0,0,1
2,0,1,0,0.5,1,0,0,1,1,0,0,1
2,0,34,0,0,1,0,0,1,1,0,0,1
2,0,1,0,0.5,1,0,0,1,1,0,0,1
2,0,0,0,0,1,0,0,1,1,0,0,1
2,0.5,2,0,0,1,0,0,1,1,0,0,1
2,0.5,1,0,0,1,0,0,1,1,0,0,1
2,0.5,1,0,0,1,0,0,1,1,0,0,1
2,0,0,0,0.5,1,0,0,1,1,0,0,1
2,0,699,0,0,0,0,1,2,1,0,0,1
2,0.5,1,0,0,1,0,0,1,1,0,0,1
2,0,1302,0,0,1,0,0,2,1,0,0,1
2,0,0,0,0.5,1,0,0,1,1,0,0,1
2,0,7,0.5,0,1,0,0,1,1,0,0,1
